year,day,time,speed_ms
2006,19,1018,23.25
2006,19,1048,24.59
2006,19,1118,17.88
2006,19,1148,22.80
2006,19,1218,26.38
2006,19,1248,23.69
2006,19,1318,24.59
2006,19,1348,20.56
2006,19,1418,25.03
2006,19,1448,30.85
2006,19,1518,32.19
2006,19,1548,25.03
2006,19,1618,24.59
2006,19,1648,25.93
2006,19,1718,28.16
2006,19,1748,21.01
2006,19,1818,20.12
2006,19,1848,22.35
2006,19,1918,21.46
2006,19,1948,21.90
2006,19,2018,22.80
2006,19,2048,23.25
2006,19,2118,28.61
2006,19,2148,29.95
2006,19,2218,27.27
2006,19,2248,26.82
2006,19,2318,24.14
2006,19,2348,24.59
2006,20,18,24.14
2006,20,48,19.67
2006,20,118,19.67
2006,20,148,16.99
2006,20,218,20.12
2006,20,248,21.90
2006,20,318,20.12
2006,20,348,21.90
2006,20,418,21.90
2006,20,448,18.78
2006,20,518,18.33
2006,20,548,23.25
2006,20,618,20.56
2006,20,648,17.43
2006,20,718,22.35
2006,20,748,21.01
2006,20,818,26.38
2006,20,848,24.14
2006,20,918,25.93
2006,20,948,26.38
2006,20,1018,18.78
2006,20,1048,19.67
2006,20,1118,21.46
2006,20,1148,21.46
2006,20,1218,20.56
2006,20,1248,22.80
2006,20,1318,26.38
2006,20,1348,22.35
2006,20,1418,26.82
2006,20,1448,26.38
2006,20,1518,21.90
2006,20,1548,24.14
2006,20,1618,21.46
2006,20,1648,22.80
2006,20,1718,19.67
2006,20,1748,21.90
2006,20,1818,21.46
2006,20,1848,21.01
2006,20,1918,21.90
2006,20,1948,21.46
2006,20,2018,24.59
2006,20,2048,23.69
2006,20,2118,25.48
2006,20,2148,24.14
2006,20,2218,23.69
2006,20,2248,25.48
2006,20,2318,23.69
2006,20,2348,22.35
2006,21,18,22.80
2006,21,48,23.69
2006,21,118,22.80
2006,21,148,23.25
2006,21,218,25.03
2006,21,248,22.80
2006,21,318,22.80
2006,21,348,22.35
2006,21,418,20.56
2006,21,448,21.46
2006,21,518,17.43
2006,21,548,16.54
2006,21,618,16.54
2006,21,648,18.78
2006,21,718,16.54
2006,21,748,14.75
2006,21,818,13.86
2006,21,848,11.62
2006,21,918,11.62
2006,21,948,11.62
2006,21,1018,10.73
2006,21,1048,11.62
2006,21,1118,11.62
2006,21,1148,11.18
2006,21,1218,10.28
2006,21,1248,8.49
2006,21,1318,6.26
2006,21,1348,4.47
2006,21,1418,4.47
2006,21,1448,2.68
2006,21,1518,1.34
2006,21,1548,2.68
2006,21,1618,1.34
2006,21,1648,2.68
2006,21,1718,0.89
2006,21,1748,0.89
2006,21,1818,2.68
2006,21,1848,4.92
2006,21,1918,8.49
2006,21,1948,9.83
2006,21,2018,10.73
2006,21,2048,12.07
2006,21,2118,11.18
2006,21,2148,14.31
2006,21,2218,14.75
2006,21,2248,12.52
2006,21,2318,12.96
2006,21,2348,17.88
2006,22,18,15.65
2006,22,48,16.99
2006,22,118,17.43
2006,22,148,18.78
2006,22,218,19.22
2006,22,248,18.78
2006,22,318,16.54
2006,22,348,16.99
2006,22,418,18.33
2006,22,448,21.46
2006,22,518,21.01
2006,22,548,20.12
2006,22,618,21.46
2006,22,648,20.12
2006,22,718,19.22
2006,22,748,19.67
2006,22,818,21.46
2006,22,848,18.78
2006,22,918,21.01
2006,22,948,21.01
2006,22,1018,17.88
2006,22,1048,18.78
2006,22,1118,13.86
2006,22,1148,12.07
2006,22,1218,12.96
2006,22,1248,11.18
2006,22,1318,12.07
2006,22,1348,14.75
2006,22,1418,12.07
2006,22,1448,15.65
2006,22,1518,8.05
2006,22,1548,13.86
2006,22,1618,15.65
2006,22,1648,13.86
2006,22,1718,17.43
2006,22,1748,11.62
2006,22,1818,9.83
2006,22,1848,12.07
2006,22,1918,12.52
2006,22,1948,9.83
2006,22,2018,6.71
2006,22,2048,6.71
2006,22,2118,2.68
2006,22,2148,4.92
2006,22,2218,6.71
2006,22,2248,4.02
2006,22,2318,5.81
2006,22,2348,3.58
2006,23,18,3.13
2006,23,48,3.58
2006,23,118,4.02
2006,23,148,2.68
2006,23,218,4.47
2006,23,248,4.92
2006,23,318,8.94
2006,23,348,12.96
2006,23,418,11.62
2006,23,448,11.62
2006,23,518,10.28
2006,23,548,18.78
2006,23,618,17.43
2006,23,648,11.62
2006,23,718,19.67
2006,23,748,18.78
2006,23,818,20.56
2006,23,848,21.01
2006,23,918,24.14
2006,23,948,24.14
2006,23,1018,23.69
2006,23,1048,25.03
2006,23,1118,22.80
2006,23,1148,20.56
2006,23,1218,21.01
2006,23,1248,20.12
